,Nature,HP/Atk/Def/SpA/SpD/Spe,UsePercentage,Pokemon
4911,Lonely,252/252/0/0/0/4,0.187%,Eiscue Ice Face
4912,Jolly,36/252/0/0/0/220,0.175%,Eiscue Ice Face
4913,Adamant,252/252/0/0/0/4,0.144%,Eiscue Ice Face
4914,Adamant,0/252/60/0/192/0,0.092%,Eiscue Ice Face
4915,Adamant,0/252/4/0/0/252,0.090%,Eiscue Ice Face
4916,Brave,252/252/0/0/4/0,0.090%,Eiscue Ice Face
4917,Adamant,244/252/0/0/12/0,0.089%,Eiscue Ice Face
4918,Impish,252/156/0/0/100/0,0.078%,Eiscue Ice Face
4919,Jolly,108/148/0/0/0/252,0.048%,Eiscue Ice Face
4920,Careful,252/0/4/0/252/0,20.782%,Hippowdon
4921,Impish,252/0/252/0/4/0,19.727%,Hippowdon
4922,Impish,252/4/252/0/0/0,9.748%,Hippowdon
4923,Brave,252/108/0/0/148/0,6.754%,Hippowdon
4924,Brave,252/124/0/0/132/0,6.099%,Hippowdon
4925,Brave,252/140/52/0/60/0,5.533%,Hippowdon
4926,Impish,228/0/92/0/188/0,4.418%,Hippowdon
4927,Relaxed,252/4/252/0/0/0,3.800%,Hippowdon
4928,Relaxed,252/0/4/0/252/0,3.153%,Hippowdon
4929,Adamant,252/4/0/0/252/0,3.070%,Hippowdon
4930,Brave,164/64/100/0/180/0,2.963%,Hippowdon
4931,Calm,252/4/0/0/252/0,1.792%,Hippowdon
4932,Impish,4/252/252/0/0/0,1.533%,Hippowdon
4933,Adamant,252/252/0/0/4/0,1.168%,Hippowdon
4934,Adamant,76/252/0/0/180/0,1.115%,Hippowdon
4935,Impish,164/0/244/0/100/0,1.099%,Hippowdon
4936,Adamant,0/252/252/0/4/0,1.072%,Hippowdon
4937,Brave,140/160/116/0/92/0,0.833%,Hippowdon
4938,Careful,252/20/4/0/228/4,0.813%,Hippowdon
4939,Brave,252/252/0/0/4/0,0.725%,Hippowdon
4940,Timid,0/0/0/252/4/252,39.181%,Alakazam
4941,Timid,4/0/0/252/0/252,37.749%,Alakazam
4942,Timid,0/0/4/252/0/252,9.780%,Alakazam
4943,Hardy,4/0/0/252/0/252,3.316%,Alakazam
4944,Timid,0/0/0/252/0/252,2.550%,Alakazam
4945,Modest,4/0/0/252/0/252,1.621%,Alakazam
4946,Hasty,252/0/0/0/0/252,1.026%,Alakazam
4947,Hasty,0/4/0/252/0/252,0.936%,Alakazam
4948,Timid,4/0/4/244/4/252,0.654%,Alakazam
4949,Timid,36/0/4/204/12/252,0.617%,Alakazam
4950,Modest,0/0/0/252/4/252,0.454%,Alakazam
4951,Modest,188/0/20/252/4/44,0.447%,Alakazam
4952,Serious,0/0/0/252/4/252,0.351%,Alakazam
4953,Modest,0/0/0/252/0/252,0.344%,Alakazam
4954,Modest,32/0/0/224/0/252,0.109%,Alakazam
4955,Quiet,252/0/0/252/4/0,0.084%,Alakazam
4956,Relaxed,4/0/252/252/0/0,0.082%,Alakazam
4957,Timid,6/0/0/252/0/252,0.073%,Alakazam
4958,Modest,36/0/4/204/12/252,0.066%,Alakazam
4959,Timid,252/0/0/252/0/4,0.049%,Alakazam
4960,Timid,236/0/12/4/4/252,57.641%,Torracat
4961,Timid,236/0/4/4/12/252,25.192%,Torracat
4962,Modest,0/0/0/252/0/252,6.847%,Torracat
4963,Timid,164/0/36/0/240/68,3.045%,Torracat
4964,Timid,4/0/0/252/0/252,2.265%,Torracat
4965,Timid,204/0/12/44/4/244,1.195%,Torracat
4966,Calm,252/0/0/4/252/0,1.087%,Torracat
4967,Sassy,4/0/252/0/252/0,1.004%,Torracat
4968,Timid,60/0/0/228/0/220,0.770%,Torracat
4969,Hardy,236/0/28/0/0/244,0.490%,Torracat
4970,Calm,252/0/92/36/124/4,0.163%,Torracat
4971,Jolly,252/0/4/0/0/252,0.106%,Torracat
4972,Timid,20/0/0/236/0/252,0.047%,Torracat
4973,Jolly,0/0/124/0/128/252,0.030%,Torracat
4974,Timid,196/0/20/44/4/244,0.028%,Torracat
4975,Modest,252/0/4/252/0/0,0.021%,Torracat
4976,Timid,244/0/4/12/4/244,0.020%,Torracat
4977,Adamant,64/252/124/0/68/0,0.014%,Torracat
4978,Jolly,132/0/124/0/0/252,0.010%,Torracat
4979,Calm,252/0/140/4/92/20,0.006%,Torracat
4980,Timid,252/0/0/12/0/244,46.290%,Thievul
4981,Timid,252/0/4/0/0/252,16.351%,Thievul
4982,Modest,0/0/0/252/4/252,6.650%,Thievul
4983,Timid,252/0/0/0/4/252,5.591%,Thievul
4984,Timid,252/0/0/4/0/252,4.407%,Thievul
4985,Bold,252/0/252/0/0/4,4.343%,Thievul
4986,Hardy,0/0/0/212/44/252,3.882%,Thievul
4987,Hardy,0/0/0/156/100/252,3.079%,Thievul
4988,Timid,248/0/0/8/0/252,2.602%,Thievul
4989,Calm,252/0/252/0/4/0,2.366%,Thievul
4990,Timid,252/0/0/0/16/240,0.865%,Thievul
4991,Jolly,248/8/0/0/0/252,0.735%,Thievul
4992,Timid,252/0/0/0/0/252,0.458%,Thievul
4993,Jolly,252/0/0/0/4/252,0.311%,Thievul
4994,Calm,252/0/20/36/0/200,0.302%,Thievul
4995,Mild,0/4/0/252/0/252,0.294%,Thievul
4996,Jolly,8/252/92/0/12/96,0.239%,Thievul
4997,Timid,4/0/0/252/0/252,0.179%,Thievul
4998,Hasty,252/4/0/0/0/252,0.176%,Thievul
4999,Jolly,252/0/52/0/84/120,0.173%,Thievul
5000,Adamant,252/252/0/0/4/0,28.963%,Arctozolt
5001,Brave,252/252/4/0/0/0,25.505%,Arctozolt
5002,Adamant,4/252/0/0/0/252,21.537%,Arctozolt
5003,Jolly,0/252/0/0/4/252,12.227%,Arctozolt
5004,Brave,252/252/0/0/4/0,4.705%,Arctozolt
5005,Modest,252/0/0/252/4/0,1.701%,Arctozolt
5006,Brave,248/252/0/0/8/0,1.676%,Arctozolt
5007,Lonely,0/252/0/0/4/252,1.548%,Arctozolt
5008,Brave,252/252/0/4/0/0,1.390%,Arctozolt
5009,Brave,0/252/84/0/168/0,0.172%,Arctozolt
5010,Quiet,252/0/0/252/4/0,0.121%,Arctozolt
5011,Adamant,4/252/252/0/0/0,0.112%,Arctozolt
5012,Timid,4/0/0/252/0/252,0.091%,Arctozolt
5013,Modest,4/0/0/252/0/252,0.079%,Arctozolt
5014,Jolly,0/252/0/0/44/212,0.065%,Arctozolt
5015,Jolly,4/252/0/0/0/252,0.041%,Arctozolt
5016,Sassy,116/116/100/0/108/68,0.014%,Arctozolt
5017,Brave,248/252/0/8/0/0,0.011%,Arctozolt
5018,Hardy,148/0/0/0/0/0,0.009%,Arctozolt
5019,Brave,244/252/0/12/0/0,0.007%,Arctozolt
5020,Relaxed,252/0/36/0/220/0,37.268%,Cofagrigus
5021,Relaxed,252/0/100/100/56/0,10.077%,Cofagrigus
5022,Relaxed,4/0/252/0/252/0,7.728%,Cofagrigus
5023,Relaxed,252/0/252/0/4/0,5.697%,Cofagrigus
5024,Sassy,252/0/4/0/252/0,5.389%,Cofagrigus
5025,Sassy,252/0/0/0/252/0,5.080%,Cofagrigus
5026,Bold,252/0/252/0/4/0,4.792%,Cofagrigus
5027,Relaxed,252/0/252/0/0/0,4.541%,Cofagrigus
5028,Relaxed,252/0/172/0/84/0,2.318%,Cofagrigus
5029,Sassy,252/0/60/0/196/0,2.206%,Cofagrigus
5030,Relaxed,252/0/140/0/116/0,2.085%,Cofagrigus
5031,Relaxed,252/0/220/0/36/0,1.615%,Cofagrigus
5032,Calm,252/0/4/0/252/0,1.422%,Cofagrigus
5033,Sassy,252/0/0/4/252/0,1.363%,Cofagrigus
5034,Hardy,252/0/92/0/164/0,1.258%,Cofagrigus
5035,Relaxed,252/0/124/0/128/0,1.229%,Cofagrigus
5036,Relaxed,252/0/252/4/0/0,1.218%,Cofagrigus
5037,Quiet,80/0/252/4/172/0,0.905%,Cofagrigus
5038,Bold,252/0/0/164/92/0,0.798%,Cofagrigus
5039,Relaxed,252/0/116/0/140/0,0.747%,Cofagrigus
5040,Timid,4/0/0/252/0/252,49.035%,Starmie
5041,Timid,0/0/0/252/4/252,19.351%,Starmie
5042,Quiet,252/0/4/252/0/0,8.141%,Starmie
5043,Modest,4/0/0/252/0/252,5.665%,Starmie
5044,Modest,0/0/0/252/4/252,3.737%,Starmie
5045,Modest,0/0/0/252/0/252,3.150%,Starmie
5046,Timid,0/0/0/252/0/252,2.793%,Starmie
5047,Timid,244/0/0/252/0/12,1.818%,Starmie
5048,Modest,252/0/0/252/4/0,1.750%,Starmie
5049,Modest,196/0/0/252/0/60,1.181%,Starmie
5050,Timid,172/0/0/124/0/212,0.604%,Starmie
5051,Timid,0/0/4/252/0/252,0.531%,Starmie
5052,Modest,252/0/20/236/0/0,0.424%,Starmie
5053,Quiet,252/0/0/252/4/0,0.364%,Starmie
5054,Quiet,0/0/4/252/252/0,0.231%,Starmie
5055,Modest,116/0/36/252/44/60,0.222%,Starmie
5056,Timid,252/0/0/4/0/252,0.215%,Starmie
5057,Timid,252/0/0/0/4/252,0.160%,Starmie
5058,Hasty,0/4/0/252/0/252,0.131%,Starmie
5059,Timid,252/0/4/0/0/252,0.100%,Starmie
5060,Quiet,252/0/0/252/0/4,65.772%,Turtonator
5061,Modest,248/0/0/252/8/0,8.422%,Turtonator
5062,Modest,0/0/252/128/128/0,8.319%,Turtonator
5063,Bold,252/0/36/0/220/0,5.877%,Turtonator
5064,Modest,0/0/0/252/4/252,5.322%,Turtonator
5065,Quiet,252/0/0/252/4/0,2.059%,Turtonator
5066,Quiet,4/0/252/252/0/0,1.067%,Turtonator
5067,Quiet,252/0/4/252/0/0,1.058%,Turtonator
5068,Modest,252/0/0/252/4/0,0.620%,Turtonator
5069,Calm,252/0/4/0/252/0,0.508%,Turtonator
5070,Quiet,4/0/0/252/252/0,0.347%,Turtonator
5071,Quiet,148/0/124/116/116/0,0.215%,Turtonator
5072,Sassy,252/0/84/0/172/0,0.112%,Turtonator
5073,Modest,188/0/0/68/252/0,0.066%,Turtonator
5074,Quirky,252/0/0/4/252/0,0.055%,Turtonator
5075,Relaxed,252/0/252/0/0/0,0.048%,Turtonator
5076,Timid,252/0/0/252/0/4,0.037%,Turtonator
5077,Impish,252/0/60/0/196/0,0.031%,Turtonator
5078,Bold,252/0/252/4/0/0,0.018%,Turtonator
5079,Quiet,252/0/100/156/0/0,0.017%,Turtonator
5080,Adamant,0/252/0/0/4/252,47.313%,Sharpedo
5081,Adamant,4/252/0/0/0/252,31.163%,Sharpedo
5082,Jolly,4/252/0/0/0/252,9.502%,Sharpedo
5083,Jolly,0/252/0/0/4/252,2.469%,Sharpedo
5084,Jolly,0/252/0/0/76/180,2.279%,Sharpedo
5085,Hardy,4/252/0/0/0/252,1.838%,Sharpedo
5086,Timid,4/0/0/252/0/252,1.376%,Sharpedo
5087,Adamant,0/252/4/0/0/252,1.182%,Sharpedo
5088,Jolly,84/252/0/0/0/172,1.081%,Sharpedo
5089,Timid,0/0/0/252/4/252,0.955%,Sharpedo
5090,Adamant,252/252/0/0/0/4,0.220%,Sharpedo
5091,Adamant,4/248/0/0/0/252,0.203%,Sharpedo
5092,Adamant,108/252/0/0/0/148,0.182%,Sharpedo
5093,Hardy,0/252/0/0/0/252,0.114%,Sharpedo
5094,Adamant,0/252/0/0/108/148,0.073%,Sharpedo
5095,Adamant,0/252/0/0/252/4,0.021%,Sharpedo
5096,Jolly,220/252/0/0/0/36,0.011%,Sharpedo
5097,Adamant,140/252/4/0/4/108,0.006%,Sharpedo
5098,Adamant,4/252/12/0/84/156,0.003%,Sharpedo
5099,Hardy,0/252/0/0/4/252,0.003%,Sharpedo
5100,Hasty,0/4/0/252/0/252,25.542%,Salazzle
5101,Timid,252/0/0/0/4/252,21.119%,Salazzle
5102,Timid,0/0/0/252/4/252,21.027%,Salazzle
5103,Timid,4/0/0/252/0/252,14.294%,Salazzle
5104,Timid,60/0/4/252/4/188,5.796%,Salazzle
5105,Timid,0/0/0/252/0/252,3.156%,Salazzle
5106,Naive,0/4/0/252/0/252,1.848%,Salazzle
5107,Mild,0/4/0/252/0/252,1.334%,Salazzle
5108,Hasty,4/0/0/252/0/252,1.070%,Salazzle
5109,Timid,0/252/0/4/0/252,1.015%,Salazzle
5110,Modest,4/0/0/252/0/252,0.991%,Salazzle
5111,Timid,0/0/4/252/0/252,0.921%,Salazzle
5112,Mild,4/0/0/252/0/252,0.666%,Salazzle
5113,Jolly,252/4/0/0/0/252,0.452%,Salazzle
5114,Timid,248/0/0/8/0/252,0.331%,Salazzle
5115,Timid,84/0/0/252/0/172,0.152%,Salazzle
5116,Timid,252/0/0/4/0/252,0.093%,Salazzle
5117,Hasty,0/0/0/252/0/252,0.038%,Salazzle
5118,Modest,68/0/60/160/60/160,0.025%,Salazzle
5119,Timid,76/0/12/156/12/252,0.021%,Salazzle
5120,Timid,4/0/0/252/0/252,40.816%,Ninetales
5121,Modest,244/0/0/252/0/12,15.875%,Ninetales
5122,Timid,0/0/0/252/4/252,10.317%,Ninetales
5123,Timid,0/0/20/236/0/252,8.400%,Ninetales
5124,Modest,4/0/0/252/0/252,5.760%,Ninetales
5125,Timid,116/0/148/0/244/0,3.205%,Ninetales
5126,Modest,52/0/0/252/0/204,2.964%,Ninetales
5127,Timid,252/0/0/0/4/252,2.017%,Ninetales
5128,Timid,4/0/4/252/4/244,1.671%,Ninetales
5129,Timid,244/0/0/12/0/252,1.571%,Ninetales
5130,Hasty,4/0/0/252/0/252,1.511%,Ninetales
5131,Timid,0/0/4/252/0/252,1.399%,Ninetales
5132,Timid,0/0/0/252/0/252,0.693%,Ninetales
5133,Timid,252/0/116/0/116/0,0.544%,Ninetales
5134,Timid,252/0/0/4/0/252,0.390%,Ninetales
5135,Timid,108/0/0/180/0/220,0.286%,Ninetales
5136,Timid,4/0/252/0/0/252,0.239%,Ninetales
5137,Bold,200/0/196/66/0/42,0.172%,Ninetales
5138,Modest,0/0/0/252/4/252,0.157%,Ninetales
5139,Modest,0/0/124/252/128/0,0.152%,Ninetales
5140,Adamant,0/252/0/0/4/252,28.895%,Sirfetch'd
5141,Adamant,252/252/0/0/4/0,19.102%,Sirfetch'd
5142,Jolly,4/252/0/0/0/252,17.838%,Sirfetch'd
5143,Brave,252/252/0/0/4/0,6.570%,Sirfetch'd
5144,Adamant,252/252/0/0/0/4,5.622%,Sirfetch'd
5145,Adamant,252/252/4/0/0/0,4.593%,Sirfetch'd
5146,Timid,196/0/12/12/36/252,37.197%,Emolga
5147,Timid,252/0/0/4/0/252,32.038%,Emolga
5148,Jolly,252/0/0/0/4/252,10.667%,Emolga
5149,Hasty,0/4/0/252/0/252,6.292%,Emolga
5150,Timid,252/0/0/0/0/252,2.791%,Emolga
5151,Timid,0/0/4/252/0/252,2.719%,Emolga
5152,Jolly,0/252/0/0/4/252,1.753%,Emolga
5153,Timid,4/0/0/252/0/252,1.360%,Emolga
5154,Timid,0/0/0/252/0/252,1.212%,Emolga
5155,Modest,4/0/0/252/0/252,0.752%,Emolga
5156,Lonely,0/116/0/140/0/252,0.734%,Emolga
5157,Adamant,4/252/0/0/0/252,0.690%,Emolga
5158,Hardy,4/0/0/252/0/252,0.658%,Emolga
5159,Adamant,252/4/0/0/0/252,0.304%,Emolga
5160,Timid,252/0/0/0/4/252,0.154%,Emolga
5161,Adamant,0/252/0/0/4/252,0.147%,Emolga
5162,Impish,156/0/156/0/68/128,0.112%,Emolga
5163,Timid,228/0/4/4/20/252,0.110%,Emolga
5164,Modest,0/0/0/252/4/252,0.064%,Emolga
5165,Timid,252/0/12/84/12/148,0.038%,Emolga
5166,Timid,4/0/0/252/0/252,64.037%,Ribombee
5167,Timid,0/0/0/252/4/252,19.515%,Ribombee
5168,Timid,252/0/0/4/0/252,7.271%,Ribombee
5169,Timid,248/0/0/8/0/252,2.455%,Ribombee
5170,Modest,0/0/0/252/4/252,1.332%,Ribombee
5171,Timid,252/0/4/0/0/252,1.132%,Ribombee
5172,Timid,0/0/4/252/0/252,1.050%,Ribombee
5173,Calm,136/0/116/0/0/252,0.948%,Ribombee
5174,Timid,248/0/0/0/8/252,0.533%,Ribombee
5175,Calm,252/0/0/4/252/0,0.300%,Ribombee
5176,Timid,0/0/4/0/252/252,0.184%,Ribombee
5177,Modest,0/0/0/198/58/252,0.179%,Ribombee
5178,Timid,248/0/0/4/4/252,0.137%,Ribombee
5179,Timid,252/0/0/0/4/252,0.124%,Ribombee
5180,Bold,252/0/148/0/108/0,0.120%,Ribombee
5181,Timid,252/0/0/0/0/252,0.118%,Ribombee
5182,Hardy,252/0/0/0/0/252,0.098%,Ribombee
5183,Timid,244/0/0/12/0/252,0.096%,Ribombee
5184,Timid,0/0/0/252/0/252,0.073%,Ribombee
5185,Timid,0/0/0/0/0/252,0.069%,Ribombee
5186,Sassy,244/0/60/0/204/0,78.727%,Charjabug
5187,Quiet,244/0/252/12/0/0,6.112%,Charjabug
5188,Bold,244/0/252/12/0/0,3.213%,Charjabug
5189,Relaxed,252/0/4/0/252/0,3.058%,Charjabug
5190,Impish,244/12/252/0/0/0,2.077%,Charjabug
5191,Sassy,252/0/4/0/252/0,1.678%,Charjabug
5192,Hardy,252/0/252/0/4/0,1.534%,Charjabug
5193,Adamant,244/252/0/0/12/0,0.947%,Charjabug
5194,Impish,212/12/252/0/32/0,0.539%,Charjabug
5195,Relaxed,244/12/252/0/0/0,0.344%,Charjabug
5196,Brave,252/252/0/4/0/0,0.277%,Charjabug
5197,Bold,252/0/252/0/4/0,0.275%,Charjabug
5198,Serious,244/0/60/0/204/0,0.271%,Charjabug
5199,Relaxed,244/0/252/0/12/0,0.263%,Charjabug
5200,Sassy,4/0/252/0/252/0,0.175%,Charjabug
5201,Calm,252/0/92/0/164/0,0.085%,Charjabug
5202,Sassy,252/0/68/0/188/0,0.064%,Charjabug
5203,Hardy,0/0/252/0/252/0,0.064%,Charjabug
5204,Relaxed,252/0/180/0/76/0,0.050%,Charjabug
5205,Quiet,0/0/124/252/128/0,0.050%,Charjabug
5206,Modest,4/0/0/252/0/252,37.888%,Toxtricity Low Key Form
5207,Modest,0/0/0/252/4/252,16.111%,Toxtricity Low Key Form
5208,Timid,4/0/0/252/0/252,9.470%,Toxtricity Low Key Form
5209,Modest,60/0/0/204/0/244,5.899%,Toxtricity Low Key Form
5210,Timid,0/0/0/252/4/252,5.082%,Toxtricity Low Key Form
5211,Modest,4/0/4/244/4/252,4.717%,Toxtricity Low Key Form
5212,Timid,0/0/4/252/0/252,3.158%,Toxtricity Low Key Form
5213,Modest,196/0/0/252/0/60,2.039%,Toxtricity Low Key Form
5214,Modest,116/0/0/236/0/156,1.584%,Toxtricity Low Key Form
5215,Modest,4/0/4/252/4/244,1.219%,Toxtricity Low Key Form
5216,Timid,4/0/4/236/12/252,1.041%,Toxtricity Low Key Form
5217,Modest,44/0/4/204/12/244,0.956%,Toxtricity Low Key Form
5218,Modest,116/0/0/252/0/140,0.859%,Toxtricity Low Key Form
5219,Modest,0/0/0/252/0/252,0.841%,Toxtricity Low Key Form
5220,Timid,0/0/0/252/0/252,0.679%,Toxtricity Low Key Form
5221,Modest,252/0/0/156/0/100,0.653%,Toxtricity Low Key Form
5222,Modest,68/0/4/252/4/180,0.586%,Toxtricity Low Key Form
5223,Modest,180/0/0/252/0/68,0.521%,Toxtricity Low Key Form
5224,Modest,252/0/0/252/4/0,0.508%,Toxtricity Low Key Form
5225,Modest,252/0/4/28/4/220,0.455%,Toxtricity Low Key Form
5226,Bold,252/0/252/0/4/0,57.543%,Vaporeon
5227,Modest,252/0/44/212/0/0,12.873%,Vaporeon
5228,Modest,108/0/140/252/4/4,3.347%,Vaporeon
5229,Impish,252/4/252/0/0/0,3.343%,Vaporeon
5230,Bold,248/0/252/8/0/0,3.301%,Vaporeon
5231,Quiet,0/0/76/180/252/0,2.264%,Vaporeon
5232,Bold,252/0/124/0/128/0,2.104%,Vaporeon
5233,Bold,252/0/252/4/0/0,2.027%,Vaporeon
5234,Modest,252/0/4/252/0/0,1.947%,Vaporeon
5235,Bold,252/0/132/108/0/0,1.890%,Vaporeon
5236,Serious,0/0/252/0/0/0,1.712%,Vaporeon
5237,Bold,244/0/116/0/148/0,1.712%,Vaporeon
5238,Modest,252/0/0/252/4/0,0.688%,Vaporeon
5239,Modest,0/0/4/252/252/0,0.638%,Vaporeon
5240,Bold,252/0/212/0/40/0,0.637%,Vaporeon
5241,Calm,252/0/124/4/124/0,0.596%,Vaporeon
5242,Hardy,108/8/76/156/156/4,0.590%,Vaporeon
5243,Careful,252/4/0/0/252/0,0.392%,Vaporeon
5244,Hardy,140/0/0/0/0/0,0.391%,Vaporeon
5245,Calm,204/0/252/0/52/0,0.272%,Vaporeon
5246,Relaxed,252/0/252/0/4/0,50.262%,Mr. Mime
5247,Calm,164/0/244/0/96/0,24.599%,Mr. Mime
5248,Timid,252/0/0/0/4/252,5.742%,Mr. Mime
5249,Sassy,252/0/0/0/252/0,4.951%,Mr. Mime
5250,Bold,252/0/252/0/4/0,3.095%,Mr. Mime
5251,Serious,252/0/140/0/114/0,2.624%,Mr. Mime
5252,Modest,252/0/0/252/0/4,1.872%,Mr. Mime
5253,Bold,252/0/252/4/0/0,1.513%,Mr. Mime
5254,Hasty,0/4/0/252/0/252,0.867%,Mr. Mime
5255,Bold,252/0/252/0/0/0,0.795%,Mr. Mime
5256,Sassy,4/0/0/252/252/0,0.767%,Mr. Mime
5257,Timid,0/0/0/252/4/252,0.722%,Mr. Mime
5258,Timid,4/0/0/252/0/252,0.656%,Mr. Mime
5259,Sassy,252/0/4/0/252/0,0.507%,Mr. Mime
5260,Timid,252/0/0/4/0/252,0.250%,Mr. Mime
5261,Quiet,252/0/252/4/0/0,0.226%,Mr. Mime
5262,Bold,4/0/252/0/0/252,0.144%,Mr. Mime
5263,Bold,4/0/252/0/252/0,0.138%,Mr. Mime
5264,Calm,252/0/4/0/252/0,0.118%,Mr. Mime
5265,Careful,252/4/0/0/252/0,0.055%,Mr. Mime
5266,Modest,252/0/4/252/0/0,12.409%,Magnezone
5267,Quiet,252/0/0/252/4/0,8.436%,Magnezone
5268,Modest,0/0/4/252/0/252,6.701%,Magnezone
5269,Modest,0/0/0/252/4/252,5.929%,Magnezone
5270,Modest,252/0/0/252/4/0,3.833%,Magnezone
5271,Modest,4/0/0/252/0/252,3.640%,Magnezone
5272,Modest,252/0/4/220/4/28,3.449%,Magnezone
5273,Quiet,252/0/180/0/76/0,3.015%,Magnezone
5274,Modest,252/0/4/180/4/68,2.619%,Magnezone
5275,Quiet,252/0/4/252/0/0,2.598%,Magnezone
5276,Modest,252/0/68/108/76/4,2.458%,Magnezone
5277,Modest,180/0/4/108/196/20,2.148%,Magnezone
5278,Modest,148/0/4/252/4/100,1.739%,Magnezone
5279,Modest,212/0/44/108/76/68,1.734%,Magnezone
5280,Modest,244/0/4/76/156/28,1.584%,Magnezone
5281,Bold,252/0/36/4/100/116,1.468%,Magnezone
5282,Timid,4/0/0/252/0/252,1.381%,Magnezone
5283,Modest,252/0/0/252/0/4,1.366%,Magnezone
5284,Modest,108/0/4/252/4/140,1.185%,Magnezone
5285,Modest,252/4/0/252/0/0,1.104%,Magnezone
5286,Adamant,252/252/4/0/0/0,17.859%,Gallade
5287,Adamant,252/252/0/0/0/4,15.676%,Gallade
5288,Jolly,0/252/0/0/4/252,11.454%,Gallade
5289,Adamant,0/252/0/0/4/252,7.469%,Gallade
5290,Jolly,0/252/4/0/0/252,7.436%,Gallade
5291,Impish,200/58/148/0/100/0,4.564%,Gallade
5292,Brave,252/252/4/0/0/0,4.444%,Gallade
5293,Jolly,4/252/0/0/0/252,4.298%,Gallade
5294,Brave,252/252/0/0/4/0,4.026%,Gallade
5295,Jolly,0/252/0/0/0/252,3.848%,Gallade
5296,Brave,132/252/116/0/4/0,2.903%,Gallade
5297,Impish,252/0/252/0/4/0,1.937%,Gallade
5298,Adamant,124/248/36/0/0/100,1.758%,Gallade
5299,Adamant,4/252/252/0/0/0,1.597%,Gallade
5300,Adamant,0/252/0/0/92/163,1.453%,Gallade
5301,Adamant,148/108/0/0/252/0,1.209%,Gallade
5302,Relaxed,252/0/252/0/0/0,1.010%,Gallade
5303,Jolly,252/0/252/0/0/6,0.931%,Gallade
5304,Jolly,0/0/212/0/40/252,0.788%,Gallade
5305,Jolly,0/252/196/0/0/56,0.717%,Gallade
5306,Jolly,252/4/0/0/0/252,32.432%,Lopunny
5307,Timid,252/0/0/0/4/252,16.047%,Lopunny
5308,Timid,252/4/0/0/0/252,15.133%,Lopunny
5309,Careful,244/0/156/0/108/0,8.355%,Lopunny
5310,Jolly,252/0/0/0/4/252,7.574%,Lopunny
5311,Jolly,0/252/0/0/4/252,6.406%,Lopunny
5312,Jolly,4/252/0/0/0/252,5.999%,Lopunny
5313,Timid,4/0/0/252/0/252,4.017%,Lopunny
5314,Jolly,0/0/132/0/124/252,1.809%,Lopunny
5315,Jolly,252/0/4/0/0/252,0.886%,Lopunny
5316,Adamant,252/252/0/0/0/4,0.792%,Lopunny
5317,Jolly,4/4/244/0/4/252,0.136%,Lopunny
5318,Jolly,126/130/0/0/0/252,0.095%,Lopunny
5319,Jolly,252/0/0/0/0/252,0.084%,Lopunny
5320,Adamant,4/252/0/0/0/252,0.080%,Lopunny
5321,Serious,6/0/124/0/125/252,0.052%,Lopunny
5322,Adamant,0/252/0/0/0/248,0.030%,Lopunny
5323,Jolly,0/252/0/0/0/252,0.028%,Lopunny
5324,Hardy,4/252/0/0/0/252,0.018%,Lopunny
5325,Impish,252/0/4/0/0/252,0.010%,Lopunny
5326,Jolly,4/252/0/0/0/252,48.384%,Gourgeist Small Size
5327,Jolly,252/0/0/0/4/252,17.865%,Gourgeist Small Size
5328,Timid,244/0/0/0/12/252,7.077%,Gourgeist Small Size
5329,Timid,252/0/4/0/0/252,6.605%,Gourgeist Small Size
5330,Impish,252/0/0/0/4/252,5.266%,Gourgeist Small Size
5331,Jolly,0/0/4/0/252/252,4.519%,Gourgeist Small Size
5332,Timid,252/0/0/0/4/252,3.830%,Gourgeist Small Size
5333,Jolly,252/0/0/0/12/244,2.845%,Gourgeist Small Size
5334,Adamant,252/248/0/0/0/8,2.127%,Gourgeist Small Size
5335,Jolly,252/4/0/0/0/252,0.902%,Gourgeist Small Size
5336,Sassy,252/0/4/0/252/0,0.454%,Gourgeist Small Size
5337,Jolly,0/252/0/0/4/252,0.121%,Gourgeist Small Size
5338,Jolly,252/0/0/0/0/252,0.003%,Gourgeist Small Size
5339,Jolly,228/0/28/0/0/252,0.003%,Gourgeist Small Size
5340,Hardy,252/0/0/0/0/252,0.000%,Gourgeist Small Size
5341,Jolly,252/0/100/0/36/116,0.000%,Gourgeist Small Size
5342,Relaxed,252/4/252/0/0/0,0.000%,Gourgeist Small Size
5343,Sassy,252/4/68/0/184/0,0.000%,Gourgeist Small Size
5344,Calm,252/0/0/0/4/252,0.000%,Gourgeist Small Size
5345,Hardy,0/0/0/0/0/100,0.000%,Gourgeist Small Size
5346,Brave,252/252/0/0/4/0,54.137%,Malamar
5347,Adamant,228/60/220/0/0/0,8.678%,Malamar
5348,Brave,252/60/0/0/196/0,7.846%,Malamar
5349,Jolly,4/252/0/0/0/252,7.370%,Malamar
5350,Adamant,4/180/0/0/164/0,3.085%,Malamar
5351,Sassy,252/0/0/0/252/0,2.570%,Malamar
5352,Adamant,236/36/4/0/116/116,2.263%,Malamar
5353,Brave,248/252/0/0/8/0,1.894%,Malamar
5354,Careful,252/0/76/0/180/0,0.980%,Malamar
5355,Brave,252/152/0/0/100/0,0.802%,Malamar
5356,Relaxed,252/4/252/0/0/0,0.792%,Malamar
